idEntrenador,Temporada,Equipo,PJ,PG,PE,PP
17,1997-98,0,34,10,7,17
17,1998-99,42,28,9,7,12
17,1999-00,0,17,4,3,10
17,2000-01,350,11,2,4,5
17,2002-03,350,34,16,8,10
17,2003-04,350,34,13,11,10
17,2004-05,350,38,17,11,10
17,2005-06,0,38,19,12,7
17,2006-07,0,38,22,9,7
17,2007-08,0,38,24,10,4
17,2008-09,0,38,18,9,11
17,2009-10,0,2,0,0,2
17,2015-16,0,19,14,4,1
17,2016-17,0,38,28,3,7
17,2017-18,7,38,20,12,6
17,2018-19,7,38,20,9,9
17,2021-22,90,38,24,7,7
17,2022-23,90,38,28,6,4
19,1999-00,0,16,9,4,3
19,2000-01,0,34,16,11,7
19,2001-02,0,15,7,5,3
19,2001-02,0,19,12,5,2
19,2002-03,0,34,26,5,3
19,2003-04,0,34,25,5,4
19,2004-05,0,22,14,5,3
19,2005-06,10,34,20,7,7
19,2006-07,0,34,23,6,5
19,2007-08,0,9,7,2,0
19,2007-08,25,22,4,6,12
19,2009-10,0,16,8,1,7
19,2011-12,22,34,21,7,6
19,2012-13,22,34,21,6,7
19,2013-14,22,34,20,7,7
19,2014-15,0,38,18,6,14
19,2015-16,0,38,18,9,11
19,2016-17,120,38,17,10,11
19,2017-18,120,9,2,2,5
19,2020-21,5,38,24,7,7
19,2021-22,5,10,4,3,3
20,2000-01,0,17,14,1,2
20,2001-02,0,38,14,15,9
20,2002-03,0,38,24,7,7
20,2003-04,0,38,19,9,10
20,2004-05,47,38,18,11,9
20,2005-06,47,38,14,15,9
20,2006-07,47,38,18,8,12
20,2007-08,47,38,24,5,9
20,2008-09,47,38,18,11,9
20,2009-10,1,38,31,3,4
20,2010-11,125,28,11,6,11
20,2011-12,125,38,17,7,14
20,2012-13,125,38,16,9,13
20,2013-14,15,38,27,5,6
20,2014-15,15,38,24,7,7
20,2015-16,15,38,19,9,10
20,2018-19,0,38,15,7,16
20,2019-20,0,19,5,4,10
20,2020-21,368,38,17,10,11
20,2021-22,368,38,19,8,11
20,2022-23,368,38,17,9,12
20,2023-24,368,34,13,13,8
21,1958-59,1,7,4,1,2
21,1959-60,0,29,11,11,7
21,1959-60,1,1,1,0,0
21,1960-61,1,30,24,4,2
21,1961-62,1,30,19,5,6
21,1962-63,1,30,23,3,4
21,1963-64,1,30,22,2,6
21,1964-65,1,30,21,5,4
21,1965-66,1,30,19,5,6
21,1966-67,1,30,19,9,2
21,1967-68,1,30,16,10,4
21,1968-69,1,30,18,11,1
21,1968-69,0,4,2,1,1
21,1969-70,1,30,13,9,8
21,1970-71,1,30,17,7,6
21,1971-72,1,34,19,9,6
21,1972-73,1,34,17,9,8
21,1973-74,1,18,5,8,5
21,1975-76,0,34,8,10,16
21,1977-78,0,34,12,11,11
21,1978-79,0,34,14,9,11
21,1979-80,80,34,14,6,14
21,1980-81,80,34,14,9,11
21,1981-82,80,14,4,3,7
21,1982-83,0,6,5,1,0
21,1982-83,0,2,0,1,1
21,1983-84,0,14,5,5,4
21,1983-84,0,1,0,1,0
21,1984-85,0,8,4,2,2
21,1985-86,0,11,8,2,1
21,1986-87,0,8,4,2,2
21,1986-87,0,3,0,2,1
21,1987-88,0,12,4,3,5
21,1987-88,0,1,0,1,0
22,1979-80,34,34,12,12,10
22,1980-81,34,34,15,7,12
22,1981-82,34,34,15,10,9
22,1982-83,34,34,12,4,18
22,1983-84,34,34,21,6,7
22,1984-85,34,34,15,9,10
22,1985-86,34,34,15,12,7
22,1986-87,34,34,18,7,9
22,1987-88,3,34,22,4,8
22,1988-89,3,34,19,12,3
22,1989-90,3,34,19,11,4
22,1990-91,3,34,18,9,7
22,1991-92,3,12,4,4,4
22,1992-93,105,38,17,6,15
22,1993-94,105,38,16,11,11
22,1994-95,41,24,7,7,10
22,1995-96,0,42,20,12,10
22,1996-97,0,42,15,11,16
22,1997-98,1,38,17,12,9
22,1999-00,10,34,21,6,7
22,2000-01,10,4,2,1,1
22,2001-02,105,38,14,11,13
22,2002-03,105,38,15,10,13
22,2003-04,55,34,13,11,10
22,2004-05,55,4,1,0,3
22,2006-07,34,19,4,4,11
22,2008-09,3,5,4,1,0
22,2009-10,37,34,15,14,5
22,2010-11,37,34,20,8,6
22,2011-12,3,34,23,4,7
22,2012-13,3,34,29,4,1
22,2017-18,3,27,23,1,3
23,1986-87,0,34,27,5,2
23,1987-88,0,34,27,5,2
23,1988-89,0,34,24,5,5
23,1989-90,0,34,20,8,6
23,1991-92,25,38,20,7,11
23,1992-93,25,38,19,10,9
23,1993-94,25,20,9,6,5
23,1998-99,1,23,11,4,8
23,1999-00,368,13,1,6,6
23,2002-03,0,34,26,6,2
23,2003-04,0,34,23,5,6
23,2004-05,0,34,27,6,1
23,2005-06,0,34,26,6,2
23,2008-09,11,13,11,1,1
23,2015-16,11,21,7,11,3
25,2000-01,39,13,4,4,5
25,2001-02,39,17,4,2,11
25,2002-03,99,34,15,15,4
25,2003-04,99,34,16,8,10
25,2004-05,7,38,18,18,2
25,2005-06,7,38,23,7,8
25,2006-07,7,38,30,7,1
25,2007-08,7,38,25,10,3
25,2009-10,15,21,11,5,5
25,2010-11,15,38,21,8,9
25,2011-12,15,38,28,5,5
25,2012-13,15,36,22,9,5
25,2013-14,50,28,16,7,5
25,2014-15,7,27,10,9,8
25,2015-16,7,38,20,7,11
26,1995-96,0,34,8,9,17
26,1998-99,0,34,11,12,11
26,1999-00,0,34,10,15,9
26,2001-02,0,19,4,5,10
26,2003-04,496,21,7,6,8
26,2004-05,0,7,2,3,2
26,2005-06,0,29,13,6,10
26,2006-07,0,30,15,4,11
26,2007-08,0,30,11,10,9
26,2008-09,308,30,13,11,6
26,2009-10,10,30,24,4,2
26,2010-11,10,30,20,3,7
26,2011-12,10,30,21,6,3
26,2012-13,10,30,24,5,1
26,2013-14,10,30,23,5,2
26,2014-15,10,34,27,4,3
26,2015-16,87,34,27,5,2
26,2016-17,87,34,21,7,6
26,2017-18,87,34,24,6,4
26,2019,0,32,25,5,2
26,2020-21,10,34,23,7,4
26,2021-22,10,15,12,1,2
26,2022-23,88,36,25,5,6
27,2011-12,0,30,8,5,17
28,2000-01,39,20,6,9,5
28,2001-02,2,9,4,3,2
28,2011-12,50,34,23,8,3
28,2012-13,50,34,21,8,5
28,2013-14,50,5,2,3,0
28,2017-18,50,18,14,1,3
28,2018-19,50,34,20,9,5
28,2019-20,50,34,15,11,8
28,2020-21,50,40,26,6,8
28,2021-22,50,20,7,6,7
29,1984-85,0,38,23,9,6
29,1985-86,0,38,16,7,15
29,1986-87,0,44,19,14,11
29,1987-88,0,38,15,7,16
29,1988-89,0,20,5,9,6
29,1989-90,0,38,12,15,11
29,1990-91,0,38,13,16,9
29,1991-92,0,38,14,8,16
29,1992-93,0,19,4,7,8
29,1993-94,0,38,15,8,15
29,1994-95,105,26,9,9,8
29,1995-96,69,28,13,9,6
29,1996-97,69,42,18,9,15
29,1997-98,190,38,17,9,12
29,1998-99,61,38,17,12,9
29,1999-00,61,38,21,6,11
29,2000-01,61,38,22,7,9
29,2001-02,61,38,20,8,10
29,2002-03,61,38,22,6,10
29,2003-04,61,38,21,8,9
29,2004-05,61,38,12,15,11
29,2006-07,368,15,3,4,8
29,2007-08,0,6,1,1,4
30,2009-10,0,34,12,11,11
30,2010-11,0,34,18,4,12
30,2011-12,0,34,9,12,13
30,2012-13,0,34,10,12,12
30,2013-14,0,34,16,5,13
30,2015-16,14,34,24,6,4
30,2016-17,14,34,18,10,6
30,2018-19,0,38,29,4,5
30,2019-20,0,27,22,2,3
30,2020-21,0,17,11,2,4
30,2020-21,11,19,11,5,3
30,2021-22,11,38,21,11,6
30,2022-23,11,6,3,1,2
30,2022-23,3,9,6,1,2
30,2023-24,3,32,22,3,7
32,1987-88,0,38,18,12,8
32,1988-89,0,38,13,10,15
32,1989-90,0,38,11,9,18
32,1993-94,1,11,5,1,5
32,1995-96,1,1,1,0,0
32,1999-00,1,27,13,8,6
32,2000-01,1,38,24,8,6
32,2001-02,1,38,19,9,10
32,2002-03,1,38,22,12,4
32,2008-09,0,15,14,0,1
32,2009-10,0,18,17,0,1
32,2010-11,0,11,8,1,2
32,2011-12,0,17,12,3,2
32,2012-13,0,16,12,3,1
32,2013-14,0,13,9,1,3
32,2014-15,0,10,6,0,4
32,2015-16,0,14,9,2,3
33,1998-99,120,38,11,10,17
33,1999-00,120,38,12,14,12
33,2000-01,120,38,11,9,18
33,2001-02,120,29,7,9,13
34,1978-79,30,7,3,1,3
35,1997-98,354,38,16,12,10
35,1998-99,354,38,20,6,12
35,1999-00,25,38,18,10,10
35,2000-01,25,38,18,9,11
35,2001-02,7,34,20,9,5
35,2002-03,7,34,19,8,7
35,2003-04,7,6,2,3,1
35,2004-05,354,29,9,7,13
35,2005-06,354,23,4,7,12
35,2007-08,368,14,2,5,7
35,2007-08,333,10,2,3,5
35,2011-12,0,13,1,6,6
35,2011-12,0,17,6,7,4
35,2012-13,0,29,6,11,12
36,1969-70,3,10,7,1,2
36,1970-71,3,34,19,10,5
36,1971-72,3,34,24,7,3
36,1972-73,3,34,25,4,5
36,1973-74,3,34,20,9,5
36,1974-75,3,17,7,2,8
36,1975-76,34,34,16,13,5
36,1976-77,34,34,17,10,7
36,1977-78,34,34,20,8,6
36,1978-79,34,34,12,8,14
36,1979-80,14,34,14,8,12
36,1980-81,14,30,12,7,11
36,1981-82,5,34,19,7,8
36,1982-83,5,26,14,8,4
36,1983-84,3,34,20,7,7
36,1984-85,3,34,21,8,5
36,1985-86,3,34,21,7,6
36,1986-87,3,34,20,13,1
36,1991-92,0,1,0,1,0
36,1992-93,55,17,5,6,6
36,1999-00,14,5,2,2,1
37,2004-05,0,21,12,4,5
37,2005-06,0,42,19,12,11
37,2006-07,520,42,24,8,10
37,2007-08,520,38,14,10,14
37,2008-09,25,38,18,8,12
37,2009-10,25,38,21,8,9
37,2010-11,25,38,21,8,9
37,2011-12,25,38,17,10,11
37,2012-13,80,19,8,4,7
37,2013-14,80,38,18,9,11
37,2014-15,80,38,23,7,8
37,2015-16,80,38,14,10,14
37,2016-17,0,38,27,6,5
37,2017-18,0,38,29,6,3
37,2018-19,31,38,21,7,10
37,2019-20,31,13,4,6,3
37,2020-21,47,38,15,13,10
37,2021-22,47,38,16,11,11
37,2022-23,47,11,5,3,3
37,2022-23,23,25,15,4,6
37,2023-24,23,36,20,7,9
38,2014-15,37,34,17,10,7
38,2015-16,37,34,18,6,10
38,2016-17,37,23,9,3,11
38,2020-21,0,34,21,9,4
38,2021-22,0,34,26,3,5
38,2022-23,10,34,28,3,3
38,2023-24,10,31,24,4,3
39,2014-15,0,38,16,10,12
39,2015-16,0,19,10,7,2
39,2015-16,1,20,17,2,1
39,2016-17,1,38,29,6,3
39,2017-18,1,38,22,10,6
39,2018-19,1,11,5,2,4
39,2019-20,1,38,26,9,3
39,2020-21,1,38,25,9,4
40,1998-99,28,14,10,3,1
40,1999-00,28,34,20,5,9
40,2000-01,28,34,12,7,15
40,2002-03,154,38,10,12,16
40,2003-04,154,38,14,9,15
40,2004-05,154,38,18,13,7
40,2005-06,154,38,16,14,8
40,2006-07,154,38,13,11,14
40,2007-08,154,38,13,18,7
40,2008-09,46,38,20,11,7
40,2009-10,46,38,20,12,6
40,2010-11,46,38,17,13,8
40,2012-13,0,38,18,10,10
40,2013-14,0,38,12,6,20
40,2014-15,0,38,13,9,16
40,2015-16,0,38,18,9,11
40,2016-17,0,38,12,10,16
