idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
31,2023-01-01,Group stage,14,2,Signal Iduna Park,0,0,0,1,0,0.0,0.0,100.0,100.0,0.0,45.45,60.0,40.0,0.0,0.45,0.6,1.36,642.4923391215527,27.934449527024032,40.0,33.33,33.33,33.33,0.4,0.33,1.0,377.7323799795709,16.42314695563352
32,2023-01-01,Group stage,20,67,Stadion Rajko Mitić,2,2,0,1,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,374.8212461695607,17.03732937134367,20.0,33.33,0.0,66.67,0.2,0.33,1.0,357.5076608784474,15.54381134254119
33,2023-01-01,Group stage,7,184,Stadio Giuseppe Meazza,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,57.14,66.67,33.33,0.0,0.57,0.67,1.14,540.2962206332993,24.55891911969542,20.0,0.0,0.0,100.0,0.2,0.0,0.6,377.22165474974463,16.400941510858463
34,2023-01-01,Group stage,50,3,RAMS Park,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,100.0,0.0,0.2,0.0,1.8,402.34933605720124,20.117466802860058,54.55,66.67,33.33,0.0,0.55,0.67,1.36,675.2298263534217,29.35781853710529
35,2023-01-01,Group stage,8,153,Old Trafford,1,0,1,0,0,100.0,0.0,0.0,33.33,66.67,0.0,0.0,0.0,100.0,0.0,0.0,2.2,380.7456588355464,15.864402451481105,28.57,50.0,0.0,50.0,0.29,0.5,1.43,483.9121552604699,20.16300646918624
36,2023-01-01,Group stage,10,69,Estádio do Sport Lisboa e Benfica,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,1.4,376.7620020429009,17.125545547404585,28.57,25.0,50.0,25.0,0.29,0.25,1.0,524.8212461695608,20.185432544983108
37,2023-01-01,Group stage,308,1,Estádio Municipal de Braga,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,1.0,397.6506639427987,17.289159301860813,63.64,50.0,50.0,0.0,0.64,0.5,1.82,685.4443309499487,31.156560497724943
38,2023-01-01,Group stage,80,31,Estadio Ramón Sánchez Pizjuán,1,2,0,0,1,100.0,0.0,0.0,33.33,66.67,0.0,0.0,50.0,50.0,0.0,0.0,1.2,368.99897854954037,15.374957439564179,33.33,60.0,20.0,20.0,0.33,0.6,1.89,688.3043922369765,29.92627792334681
39,2023-01-01,Group stage,328,21,Stade Bollaert-Delelis,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,40.0,100.0,0.0,0.0,0.4,1.0,1.0,373.13585291113367,18.65679264555669,28.57,25.0,75.0,0.0,0.29,0.25,1.14,528.3963227783452,24.018014671742968
40,2023-01-01,Group stage,470,90,Olympiastadion Berlin,0,1,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2,367.1603677221654,17.48382703438883,28.57,25.0,50.0,25.0,0.29,0.25,1.57,531.4606741573034,23.10698583292623
41,2023-01-01,Group stage,5,92,Estadi Olímpic Lluís Companys,2,1,1,0,0,57.14,0.0,42.86,57.14,42.86,55.56,75.0,0.0,25.0,0.56,0.75,2.0,676.8130745658835,27.072522982635345,60.0,66.67,0.0,33.33,0.6,0.67,1.8,364.0960163432073,17.33790554015273
42,2023-01-01,Group stage,22,99,Stadion Feijenoord,3,1,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,412.00204290091926,17.166751787538303,57.14,75.0,25.0,0.0,0.57,0.75,1.0,524.1573033707865,24.959871589085072
