Temporada,idJugador,Jugador,Equipo,Edad,PJ,Titular,Mín,Gls.,Ass,TP,TPint,TA,TR,xG,npxG,PrgC,PrgP,PrgR,Valoracion
1992-01-01,12,Thomas Andersson,54,21.0,8,6,578.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,34.86766682499625
1992-01-01,13,Ion Andoni Goikoetxea,5,26.0,4,3,280.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,19.035184700379297
1992-01-01,14,Ivaylo Andonov,45,24.0,2,2,180.0,1,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,14.030077448081034
1992-01-01,15,António André,12,34.0,6,5,401.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,25.52139511917398
1992-01-01,16,Miguel Ángel Nadal,5,26.0,4,4,337.0,1,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,22.354898694250593
1992-01-01,17,Jocelyn Angloma,17,26.0,9,9,738.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,43.192488071165805
1992-01-01,19,Francesco Antonioli,2,22.0,4,4,360.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,23.120986538990124
1992-01-01,20,Yuri Antonovich,98,25.0,4,3,328.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,21.486665803545794
1992-01-01,21,Jarosław Araszkiewicz,168,27.0,4,4,360.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,23.120986538990124
1992-01-01,22,Assis,359,21.0,4,4,351.0,2,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,23.47849419986857
1992-01-01,23,Vitālijs Astafjevs,302,21.0,2,2,180.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,13.62149726421995
1992-01-01,25,Vítor Baía,12,22.0,10,10,882.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,50.7001489496132
1992-01-01,26,Jacek Bąk,168,19.0,2,2,180.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,13.62149726421995
1992-01-01,27,Jarosław Bako,94,27.0,2,2,180.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,13.62149726421995
1992-01-01,28,Virginijus Baltušnikas,315,23.0,2,2,180.0,0,0.0,0.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,13.62149726421995
1992-01-01,29,Fernando Bandeirinha,12,29.0,7,7,630.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,37.37022045114538
1992-01-01,30,Franco Baresi,2,32.0,8,8,720.0,0,0.0,0.0,0.0,2,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,42.11996508853048
1992-01-01,31,Fabien Barthez,17,21.0,10,10,900.0,0,0.0,0.0,0.0,1,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,51.61945436330064
1992-01-01,32,Marco van Basten,2,27.0,5,5,431.0,6,0.0,1.0,0.0,0,0,0.5402439024390244,0.48986405437824876,6.738704518192723,14.177928828468612,14.058376649340264,29.351834342871637
