idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
39,2023-01-01,Group stage,328,21,Stade Bollaert-Delelis,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,40.0,100.0,0.0,0.0,0.4,1.0,1.0,0.0,,28.57,25.0,75.0,0.0,0.29,0.25,1.14,0.0,
40,2023-01-01,Group stage,470,90,Olympiastadion Berlin,0,1,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2,0.0,,28.57,25.0,50.0,25.0,0.29,0.25,1.57,0.0,
41,2023-01-01,Group stage,5,92,Estadi Olímpic Lluís Companys,2,1,1,0,0,57.14,0.0,42.86,57.14,42.86,55.56,75.0,0.0,25.0,0.56,0.75,2.0,0.0,,60.0,66.67,0.0,33.33,0.6,0.67,1.8,0.0,
42,2023-01-01,Group stage,22,99,Stadion Feijenoord,3,1,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,57.14,75.0,25.0,0.0,0.57,0.75,1.0,0.0,
43,2023-01-01,Group stage,16,24,Celtic Park,2,2,0,1,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.6,0.0,,55.56,80.0,0.0,20.0,0.56,0.8,2.33,0.0,
44,2023-01-01,Group stage,307,14,St James' Park,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,36.36,50.0,50.0,0.0,0.36,0.5,1.27,0.0,
45,2023-01-01,Group stage,191,12,Bosuilstadion,1,4,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.0,0.0,,71.43,75.0,0.0,25.0,0.71,0.75,1.71,0.0,
46,2023-01-01,Group stage,67,15,Stadion Wankdorf,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,0.0,,77.78,80.0,0.0,20.0,0.78,0.8,2.78,0.0,
47,2023-01-01,Group stage,28,2,Parc des Princes,3,0,1,0,0,100.0,0.0,0.0,0.0,100.0,36.36,40.0,40.0,20.0,0.36,0.4,1.45,0.0,,40.0,33.33,33.33,33.33,0.4,0.33,1.0,0.0,
48,2023-01-01,Group stage,68,20,Red Bull Arena,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,0.0,66.67,0.43,0.33,1.57,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,1.2,0.0,
