Temporada,Ronda,Wk,Dia,Fecha,Hora,Local,Resultado,Visitante,Público,Evento,Árbitro,Reporte,Notas
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2023-2024,Group stage,5,Tue,2023-11-28,20:00,Manchester Cityeng,3–2,deRB Leipzig,"51,402",Etihad Stadium,Glenn Nyberg,Match Report,
2023-2024,Group stage,5,Tue,2023-11-28,21:00,Milanit,1–3,deDortmund,"75,292",Stadio Giuseppe Meazza,István Kovács,Match Report,
2023-2024,Group stage,5,Tue,2023-11-28,21:00,Paris S-Gfr,1–1,engNewcastle Utd,"46,435",Parc des Princes,Szymon Marciniak,Match Report,
2023-2024,Group stage,5,Tue,2023-11-28,21:00,Feyenoordnl,1–3,esAtlético Madrid,"43,992",Stadion Feijenoord,Anthony Taylor,Match Report,
2023-2024,Group stage,5,Tue,2023-11-28,21:00,Young Boysch,2–0,rsRed Star,"31,500",Stadion Wankdorf,Danny Makkelie,Match Report,
2023-2024,Group stage,5,Tue,2023-11-28,21:00,Barcelonaes,2–1,ptPorto,"43,533",Estadi Olímpic Lluís Companys,Daniele Orsato,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,18:45,Sevillaes,2–3,nlPSV Eindhoven,"29,403",Estadio Ramón Sánchez Pizjuán,Davide Massa,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,20:00,Benficapt,3–3,itInter,"52,944",Estádio do Sport Lisboa e Benfica,Andris Treimanis,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,20:00,Bragapt,1–1,deUnion Berlin,"15,855",Estádio Municipal de Braga,Clément Turpin,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,20:00,Arsenaleng,6–0,frLens,"59,987",Emirates Stadium,Artur Soares Dias,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,20:45,Galatasaraytr,3–3,engManchester Utd,"51,733",RAMS Park,José Sánchez,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,21:00,Bayern Munichde,0–0,dkFC Copenhagen,"75,000",Allianz Arena,Stéphanie Frappart,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,21:00,Real Madrides,4–2,itNapoli,"73,562",Estadio Santiago Bernabéu,François Letexier,Match Report,
2023-2024,Group stage,5,Wed,2023-11-29,21:00,Real Sociedades,0–0,atRB Salzburg,"34,419",Reale Arena,Mykola Balakin,Match Report,
2023-2024,,,,,,,,,,,,,
2023-2024,Group stage,6,Tue,2023-12-12,18:45,Lensfr,2–1,esSevilla,"37,456",Stade Bollaert-Delelis,Felix Zwayer,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,18:45,PSV Eindhovennl,1–1,engArsenal,"35,000",Philips Stadion,Tobias Stieler,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,20:00,Manchester Utdeng,0–1,deBayern Munich,"73,073",Old Trafford,Espen Eskås,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,21:00,FC Copenhagendk,1–0,trGalatasaray,"34,726",Fælledparken Kunst,Daniele Orsato,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,21:00,Interit,0–0,esReal Sociedad,"69,010",Stadio Giuseppe Meazza,Sandro Schärer,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,21:00,RB Salzburgat,1–3,ptBenfica,"27,134",Red Bull Arena,Daniel Siebert,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,21:00,Union Berlinde,2–3,esReal Madrid,"73,420",Olympiastadion Berlin,Rade Obrenović,Match Report,
2023-2024,Group stage,6,Tue,2023-12-12,21:00,Napoliit,2–0,ptBraga,"37,841",Stadio Diego Armando Maradona,Slavko Vinčič,Match Report,
2023-2024,Group stage,6,Wed,2023-12-13,18:45,RB Leipzigde,2–1,chYoung Boys,"43,331",Red Bull Arena,Manfredas Lukjančukas,Match Report,
2023-2024,Group stage,6,Wed,2023-12-13,18:45,Red Starrs,2–3,engManchester City,"49,443",Stadion Rajko Mitić,Əliyar Ağayev,Match Report,
