Temporada,Ronda,Wk,Dia,Fecha,Hora,Local,Resultado,Visitante,Público,Evento,Árbitro,Reporte,Notas
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012-2013,Group stage,3,Wed,2012-10-24,,Dinamo Zagrebhr,0–2,frParis S-G,,Stadion Maksimir,Fırat Aydınus,Match Report,
2012-2013,Group stage,3,Wed,2012-10-24,,Ajaxnl,3–1,engManchester City,,Amsterdam ArenA,Svein Oddvar Moen,Match Report,
2012-2013,,,,,,,,,,,,,
2012-2013,Group stage,4,Tue,2012-11-06,,Manchester Cityeng,2–2,nlAjax,,City of Manchester Stadium,Peter Rasmussen,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Schalke 04de,2–2,engArsenal,,Arena AufSchalke,Nicola Rizzoli,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Olympiacosgr,3–1,frMontpellier,,Stadio Georgios Karaiskakis,Marijo Strahonja,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Dynamo Kyivua,0–0,ptPorto,,NSK Olimpiyskyi,Undiano Mallenco,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Real Madrides,2–2,deDortmund,,Estadio Santiago Bernabéu,Cüneyt Çakır,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Paris S-Gfr,4–0,hrDinamo Zagreb,,Parc des Princes,Pawel Gil,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Milanit,1–1,esMálaga,,Stadio Giuseppe Meazza,Howard Webb,Match Report,
2012-2013,Group stage,4,Tue,2012-11-06,,Anderlechtbe,1–0,ruZenit,,Constant Vanden Stock Stadium,Antony Gautier,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Benficapt,2–0,ruSpartak Moscow,,Estádio do Sport Lisboa e Benfica,Florian Meyer,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Bayern Munichde,6–1,frLille,,Fußball Arena München,Ovidiu Haţegan,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Celticsct,2–1,esBarcelona,,Celtic Park,Björn Kuipers,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Juventusit,4–0,dkNordsjælland,,Juventus Stadium,Aleksandar Stavrev,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Chelseaeng,3–2,uaShakhtar,,Stamford Bridge,Velasco Carballo,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,CFR Clujro,1–3,trGalatasaray,,Stadionul Dr. Constantin Rădulescu,William Collum,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Valenciaes,4–2,byBATE Borisov,,Estadi de Mestalla,Tom Harald Hagen,Match Report,
2012-2013,Group stage,4,Wed,2012-11-07,,Bragapt,1–3,engManchester Utd,,Estádio Municipal de Braga,Felix Brych,Match Report,
2012-2013,,,,,,,,,,,,,
2012-2013,Group stage,5,Tue,2012-11-20,,Juventusit,3–0,engChelsea,,Juventus Stadium,Cüneyt Çakır,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,Spartak Moscowru,0–3,esBarcelona,,Stadion Luzhniki,Ivan Bebek,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,CFR Clujro,3–1,ptBraga,,Stadionul Dr. Constantin Rădulescu,Sergei Karasev,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,Nordsjællanddk,2–5,uaShakhtar,,Telia Parken,Antony Gautier,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,Valenciaes,1–1,deBayern Munich,,Estadi de Mestalla,Howard Webb,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,Galatasaraytr,1–0,engManchester Utd,,Ali Sami Yen Spor Kompleksi,Velasco Carballo,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,Benficapt,2–1,sctCeltic,,Estádio do Sport Lisboa e Benfica,Viktor Kassai,Match Report,
2012-2013,Group stage,5,Tue,2012-11-20,,BATE Borisovby,0–2,frLille,,Dinamo Stadion,Marijo Strahonja,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Schalke 04de,1–0,grOlympiacos,,Arena AufSchalke,Björn Kuipers,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Portopt,3–0,hrDinamo Zagreb,,Estádio do Dragão,Paolo Tagliavento,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Arsenaleng,2–0,frMontpellier,,Arsenal Stadium,Fırat Aydınus,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Zenitru,2–2,esMálaga,,Stadion Petrovski,Olegário Benquerença,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Ajaxnl,1–4,deDortmund,,Amsterdam ArenA,Pedro Proença,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Manchester Cityeng,1–1,esReal Madrid,,City of Manchester Stadium,Gianluca Rocchi,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Anderlechtbe,1–3,itMilan,,Constant Vanden Stock Stadium,Damir Skomina,Match Report,
2012-2013,Group stage,5,Wed,2012-11-21,,Dynamo Kyivua,0–2,frParis S-G,,NSK Olimpiyskyi,Wolfgang Stark,Match Report,
2012-2013,,,,,,,,,,,,,
2012-2013,Group stage,6,Tue,2012-12-04,,Paris S-Gfr,2–1,ptPorto,,Parc des Princes,Craig Thomson,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Dinamo Zagrebhr,1–1,uaDynamo Kyiv,,Stadion Maksimir,Stanislav Todorov,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Málagaes,2–2,beAnderlecht,,La Rosaleda,Deniz Aytekin,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Milanit,0–1,ruZenit,,Stadio Giuseppe Meazza,Tony Chapron,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Dortmundde,1–0,engManchester City,,BVB Stadion Dortmund,Milorad Mažić,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Montpellierfr,1–1,deSchalke 04,,La Mosson,Mateu Lahoz,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Olympiacosgr,2–1,engArsenal,,Stadio Georgios Karaiskakis,Undiano Mallenco,Match Report,
2012-2013,Group stage,6,Tue,2012-12-04,,Real Madrides,4–1,nlAjax,,Estadio Santiago Bernabéu,Pavel Královec,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Lillefr,0–1,esValencia,,Grand Stade Lille Métropole,Aleksandar Stavrev,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Bayern Munichde,4–1,byBATE Borisov,,Fußball Arena München,William Collum,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Bragapt,1–2,trGalatasaray,,Estádio Municipal de Braga,Nicola Rizzoli,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Barcelonaes,0–0,ptBenfica,,Camp Nou,Svein Oddvar Moen,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Celticsct,2–1,ruSpartak Moscow,,Celtic Park,Felix Brych,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Chelseaeng,6–1,dkNordsjælland,,Stamford Bridge,Bas Nijhuis,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Shakhtarua,0–1,itJuventus,,Donbass Arena,Jonas Eriksson,Match Report,
2012-2013,Group stage,6,Wed,2012-12-05,,Manchester Utdeng,0–1,roCFR Cluj,,Old Trafford,Daniele Orsato,Match Report,
2012-2013,,,,,,,,,,,,,
2012-2013,Round of 16,,Tue,2013-02-12,,Celticsct,0–3,itJuventus,,Celtic Park,Undiano Mallenco,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Tue,2013-02-12,,Valenciaes,1–2,frParis S-G,,Estadi de Mestalla,Paolo Tagliavento,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Wed,2013-02-13,,Shakhtarua,2–2,deDortmund,,Donbass Arena,Howard Webb,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Wed,2013-02-13,,Real Madrides,1–1,engManchester Utd,,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Tue,2013-02-19,,Arsenaleng,1–3,deBayern Munich,,Arsenal Stadium,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Tue,2013-02-19,,Portopt,1–0,esMálaga,,Estádio do Dragão,Mark Clattenburg,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Wed,2013-02-20,,Milanit,2–0,esBarcelona,,Stadio Giuseppe Meazza,Craig Thomson,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Wed,2013-02-20,,Galatasaraytr,1–1,deSchalke 04,,Ali Sami Yen Spor Kompleksi,William Collum,Match Report,Leg 1 of 2
2012-2013,Round of 16,,Tue,2013-03-05,,Dortmundde,3–0,uaShakhtar,,BVB Stadion Dortmund,Damir Skomina,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Round of 16,,Tue,2013-03-05,,Manchester Utdeng,1–2,esReal Madrid,,Old Trafford,Cüneyt Çakır,Match Report,Leg 2 of 2; Real Madrid won
2012-2013,Round of 16,,Wed,2013-03-06,,Paris S-Gfr,1–1,esValencia,,Parc des Princes,Milorad Mažić,Match Report,Leg 2 of 2; Paris S-G won
2012-2013,Round of 16,,Wed,2013-03-06,,Juventusit,2–0,sctCeltic,,Juventus Stadium,Fırat Aydınus,Match Report,Leg 2 of 2; Juventus won
2012-2013,Round of 16,,Tue,2013-03-12,,Schalke 04de,2–3,trGalatasaray,,Arena AufSchalke,Jonas Eriksson,Match Report,Leg 2 of 2; Galatasaray won
2012-2013,Round of 16,,Tue,2013-03-12,,Barcelonaes,4–0,itMilan,,Camp Nou,Viktor Kassai,Match Report,Leg 2 of 2; Barcelona won
2012-2013,Round of 16,,Wed,2013-03-13,,Málagaes,2–0,ptPorto,,La Rosaleda,Nicola Rizzoli,Match Report,Leg 2 of 2; Málaga won
2012-2013,Round of 16,,Wed,2013-03-13,,Bayern Munichde,0–2,engArsenal,,Fußball Arena München,Pavel Královec,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Quarter-finals,,Tue,2013-04-02,,Paris S-Gfr,2–2,esBarcelona,,Parc des Princes,Wolfgang Stark,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,,Tue,2013-04-02,,Bayern Munichde,2–0,itJuventus,,Fußball Arena München,Mark Clattenburg,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,,Wed,2013-04-03,,Málagaes,0–0,deDortmund,,La Rosaleda,Jonas Eriksson,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,,Wed,2013-04-03,,Real Madrides,3–0,trGalatasaray,,Estadio Santiago Bernabéu,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012-2013,Quarter-finals,,Tue,2013-04-09,,Dortmundde,3–2,esMálaga,,BVB Stadion Dortmund,Craig Thomson,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Quarter-finals,,Tue,2013-04-09,,Galatasaraytr,3–2,esReal Madrid,,Ali Sami Yen Spor Kompleksi,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2012-2013,Quarter-finals,,Wed,2013-04-10,,Barcelonaes,1–1,frParis S-G,,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2012-2013,Quarter-finals,,Wed,2013-04-10,,Juventusit,0–2,deBayern Munich,,Juventus Stadium,Velasco Carballo,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Semi-finals,,Tue,2013-04-23,,Bayern Munichde,4–0,esBarcelona,,Fußball Arena München,Viktor Kassai,Match Report,Leg 1 of 2
2012-2013,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012-2013,Semi-finals,,Wed,2013-04-24,,Dortmundde,4–1,esReal Madrid,,BVB Stadion Dortmund,Björn Kuipers,Match Report,Leg 1 of 2
2012-2013,Semi-finals,,Tue,2013-04-30,,Real Madrides,2–0,deDortmund,,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 2 of 2; Dortmund won
2012-2013,Semi-finals,,Wed,2013-05-01,,Barcelonaes,0–3,deBayern Munich,,Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Bayern Munich won
2012-2013,Final,,Sat,2013-05-25,,Dortmundde,1–2,deBayern Munich,,Wembley Stadium (Neutral Site),Nicola Rizzoli,Match Report,
Temporada,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2011-2012,Group stage,1,Tue,2011-09-13,,Portopt,2–1,uaShakhtar,,Estádio do Dragão,Felix Brych,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,Olympiacosgr,0–1,frMarseille,,Stadio Georgios Karaiskakis,Pedro Proença,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,Barcelonaes,2–2,itMilan,,Camp Nou,Martin Atkinson,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,Viktoria Plzeňcz,1–1,byBATE Borisov,,Stadion Eden,Laurent Duhamel,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,Genkbe,0–0,esValencia,,KRC Genk Arena,Thomas Einwaller,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,Dortmundde,1–1,engArsenal,,BVB Stadion Dortmund,Gianluca Rocchi,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,APOEL FCcy,2–1,ruZenit,,GSP Stadium,Iturralde González,Match Report,
2011-2012,Group stage,1,Tue,2011-09-13,,Chelseaeng,2–0,deLeverkusen,,Stamford Bridge,Stéphane Lannoy,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Dinamo Zagrebhr,0–1,esReal Madrid,,Stadion Maksimir,Svein Oddvar Moen,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Manchester Cityeng,1–1,itNapoli,,City of Manchester Stadium,Jonas Eriksson,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Lillefr,2–2,ruCSKA Moscow,,Lille Métropole,Olegário Benquerença,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Interit,0–1,trTrabzonspor,,Stadio Giuseppe Meazza,Stefan Johannesson,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Baselch,2–1,roOțelul Galați,,St. Jakob,William Collum,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Ajaxnl,0–0,frLyon,,Amsterdam ArenA,Wolfgang Stark,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Villarreales,0–2,deBayern Munich,,Estadio El Madrigal,Cüneyt Çakır,Match Report,
2011-2012,Group stage,1,Wed,2011-09-14,,Benficapt,1–1,engManchester Utd,,Estádio do Sport Lisboa e Benfica,Damir Skomina,Match Report,
2011-2012,,,,,,,,,,,,,
2011-2012,Group stage,2,Tue,2011-09-27,,Oțelul Galațiro,0–1,ptBenfica,,Arena Națională,Fernández Borbalán,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,Napoliit,2–0,esVillarreal,,Stadio San Paolo,Frank de Bleeckere,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,Trabzonsportr,1–1,frLille,,Hüseyin Avni Aker Stadyumu,Björn Kuipers,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,Lyonfr,2–0,hrDinamo Zagreb,,Stade de Gerland,Pavel Královec,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,Bayern Munichde,2–0,engManchester City,,Fußball Arena München,Viktor Kassai,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,CSKA Moscowru,2–3,itInter,,Stadion Luzhniki,Craig Thomson,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,Real Madrides,3–0,nlAjax,,Estadio Santiago Bernabéu,Mark Clattenburg,Match Report,
2011-2012,Group stage,2,Tue,2011-09-27,,Manchester Utdeng,3–3,chBasel,,Old Trafford,Paolo Tagliavento,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,BATE Borisovby,0–5,esBarcelona,,Dinamo Stadion,Manuel Gräfe,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Milanit,2–0,czViktoria Plzeň,,Stadio Giuseppe Meazza,Florian Meyer,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Shakhtarua,1–1,cyAPOEL FC,,Donbass Arena,Robert Schörgenhofer,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Zenitru,3–1,ptPorto,,Stadion Petrovski,Howard Webb,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Leverkusende,2–0,beGenk,,BayArena,Alan Kelly,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Valenciaes,1–1,engChelsea,,Estadi de Mestalla,Nicola Rizzoli,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Arsenaleng,2–1,grOlympiacos,,Arsenal Stadium,Velasco Carballo,Match Report,
2011-2012,Group stage,2,Wed,2011-09-28,,Marseillefr,3–0,deDortmund,,Stade Vélodrome,Jonas Eriksson,Match Report,
2011-2012,,,,,,,,,,,,,
2011-2012,Group stage,3,Tue,2011-10-18,,Manchester Cityeng,2–1,esVillarreal,,City of Manchester Stadium,Pavel Královec,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,Napoliit,1–1,deBayern Munich,,Stadio San Paolo,Olegário Benquerença,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,Baselch,0–2,ptBenfica,,St. Jakob,Viktor Kassai,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,Lillefr,0–1,itInter,,Lille Métropole,Howard Webb,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,Real Madrides,4–0,frLyon,,Estadio Santiago Bernabéu,Cüneyt Çakır,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,CSKA Moscowru,3–0,trTrabzonspor,,Stadion Luzhniki,Mark Clattenburg,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,Oțelul Galațiro,0–2,engManchester Utd,,Arena Națională,Felix Brych,Match Report,
2011-2012,Group stage,3,Tue,2011-10-18,,Dinamo Zagrebhr,0–2,nlAjax,,Stadion Maksimir,Manuel Gräfe,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Shakhtarua,2–2,ruZenit,,Donbass Arena,Frank de Bleeckere,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Marseillefr,0–1,engArsenal,,Stade Vélodrome,Damir Skomina,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Barcelonaes,2–0,czViktoria Plzeň,,Camp Nou,Aleksandar Stavrev,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Milanit,2–0,byBATE Borisov,,Stadio Giuseppe Meazza,Tom Harald Hagen,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Chelseaeng,5–0,beGenk,,Stamford Bridge,Aleksei Nikolaev,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Leverkusende,2–1,esValencia,,BayArena,Craig Thomson,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Portopt,1–1,cyAPOEL FC,,Estádio do Dragão,Antony Gautier,Match Report,
2011-2012,Group stage,3,Wed,2011-10-19,,Olympiacosgr,3–1,deDortmund,,Stadio Georgios Karaiskakis,Bas Nijhuis,Match Report,
2011-2012,,,,,,,,,,,,,
2011-2012,Group stage,4,Tue,2011-11-01,,Valenciaes,3–1,deLeverkusen,,Estadi de Mestalla,Jonas Eriksson,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,APOEL FCcy,2–1,ptPorto,,GSP Stadium,Gianluca Rocchi,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,Viktoria Plzeňcz,0–4,esBarcelona,,Eden Stadium,Robert Schörgenhofer,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,BATE Borisovby,1–1,itMilan,,Dinamo Stadion,Peter Rasmussen,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,Genkbe,1–1,engChelsea,,KRC Genk Arena,Svein Oddvar Moen,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,Zenitru,1–0,uaShakhtar,,Stadion Petrovski,Stéphane Lannoy,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,Arsenaleng,0–0,frMarseille,,Arsenal Stadium,Paolo Tagliavento,Match Report,
2011-2012,Group stage,4,Tue,2011-11-01,,Dortmundde,1–0,grOlympiacos,,BVB Stadion Dortmund,Vladislav Bezborodov,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Lyonfr,0–2,esReal Madrid,,Stade de Gerland,Nicola Rizzoli,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Bayern Munichde,3–2,itNapoli,,Fußball Arena München,Björn Kuipers,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Villarreales,0–3,engManchester City,,Estadio El Madrigal,Pedro Proença,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Trabzonsportr,0–0,ruCSKA Moscow,,Hüseyin Avni Aker Stadyumu,Undiano Mallenco,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Manchester Utdeng,2–0,roOțelul Galați,,Old Trafford,Marijo Strahonja,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Ajaxnl,4–0,hrDinamo Zagreb,,Amsterdam ArenA,Martin Atkinson,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Interit,2–1,frLille,,Stadio Giuseppe Meazza,Wolfgang Stark,Match Report,
2011-2012,Group stage,4,Wed,2011-11-02,,Benficapt,1–1,chBasel,,Estádio do Sport Lisboa e Benfica,Velasco Carballo,Match Report,
2011-2012,,,,,,,,,,,,,
2011-2012,Group stage,5,Tue,2011-11-22,,Real Madrides,6–2,hrDinamo Zagreb,,Estadio Santiago Bernabéu,Alan Kelly,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,Manchester Utdeng,2–2,ptBenfica,,Old Trafford,Cüneyt Çakır,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,Bayern Munichde,3–1,esVillarreal,,Fußball Arena München,Markus Strömbergsson,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,Napoliit,2–1,engManchester City,,Stadio San Paolo,Damir Skomina,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,Lyonfr,0–0,nlAjax,,Stade de Gerland,Jonas Eriksson,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,Oțelul Galațiro,2–3,chBasel,,Arena Națională,Tom Harald Hagen,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,CSKA Moscowru,0–2,frLille,,Stadion Luzhniki,Pavel Královec,Match Report,
2011-2012,Group stage,5,Tue,2011-11-22,,Trabzonsportr,1–1,itInter,,Hüseyin Avni Aker Stadyumu,Martin Atkinson,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Leverkusende,2–1,engChelsea,,BayArena,Viktor Kassai,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Arsenaleng,2–1,deDortmund,,Arsenal Stadium,Frank de Bleeckere,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Milanit,2–3,esBarcelona,,Stadio Giuseppe Meazza,Wolfgang Stark,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Marseillefr,0–1,grOlympiacos,,Stade Vélodrome,Nicola Rizzoli,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Valenciaes,7–0,beGenk,,Estadi de Mestalla,Tony Chapron,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,BATE Borisovby,0–1,czViktoria Plzeň,,Dinamo Stadion,Kevin Blom,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Shakhtarua,0–2,ptPorto,,Donbass Arena,Craig Thomson,Match Report,
2011-2012,Group stage,5,Wed,2011-11-23,,Zenitru,0–0,cyAPOEL FC,,Stadion Petrovski,Felix Brych,Match Report,
2011-2012,,,,,,,,,,,,,
2011-2012,Group stage,6,Tue,2011-12-06,,Olympiacosgr,3–1,engArsenal,,Stadio Georgios Karaiskakis,Undiano Mallenco,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,APOEL FCcy,0–2,uaShakhtar,,GSP Stadium,Ovidiu Haţegan,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,Genkbe,1–1,deLeverkusen,,KRC Genk Arena,Paolo Tagliavento,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,Chelseaeng,3–0,esValencia,,Stamford Bridge,Gianluca Rocchi,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,Barcelonaes,4–0,byBATE Borisov,,Camp Nou,William Collum,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,Viktoria Plzeňcz,2–2,itMilan,,Stadion Eden,István Vad,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,Dortmundde,2–3,frMarseille,,BVB Stadion Dortmund,Howard Webb,Match Report,
2011-2012,Group stage,6,Tue,2011-12-06,,Portopt,0–0,ruZenit,,Estádio do Dragão,Velasco Carballo,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Manchester Cityeng,2–0,deBayern Munich,,City of Manchester Stadium,Stéphane Lannoy,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Dinamo Zagrebhr,1–7,frLyon,,Stadion Maksimir,Mark Clattenburg,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Benficapt,1–0,roOțelul Galați,,Estádio do Sport Lisboa e Benfica,Manuel Gräfe,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Baselch,2–1,engManchester Utd,,St. Jakob,Björn Kuipers,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Villarreales,0–2,itNapoli,,Estadio El Madrigal,Svein Oddvar Moen,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Lillefr,0–0,trTrabzonspor,,Lille Métropole,Pedro Proença,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Interit,1–2,ruCSKA Moscow,,Stadio Giuseppe Meazza,Fernández Borbalán,Match Report,
2011-2012,Group stage,6,Wed,2011-12-07,,Ajaxnl,0–3,esReal Madrid,,Amsterdam ArenA,Jorge Sousa,Match Report,
2011-2012,,,,,,,,,,,,,
2011-2012,Round of 16,,Tue,2012-02-14,,Leverkusende,1–3,esBarcelona,,BayArena,Craig Thomson,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Tue,2012-02-14,,Lyonfr,1–0,cyAPOEL FC,,Stade de Gerland,Paolo Tagliavento,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Wed,2012-02-15,,Zenitru,3–2,ptBenfica,,Stadion Petrovski,Jonas Eriksson,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Wed,2012-02-15,,Milanit,4–0,engArsenal,,Stadio Giuseppe Meazza,Viktor Kassai,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Tue,2012-02-21,,CSKA Moscowru,1–1,esReal Madrid,,Stadion Luzhniki,Björn Kuipers,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Tue,2012-02-21,,Napoliit,3–1,engChelsea,,Stadio San Paolo,Velasco Carballo,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Wed,2012-02-22,,Baselch,1–0,deBayern Munich,,St. Jakob,Nicola Rizzoli,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Wed,2012-02-22,,Marseillefr,1–0,itInter,,Stade Vélodrome,Cüneyt Çakır,Match Report,Leg 1 of 2
2011-2012,Round of 16,,Tue,2012-03-06,,Arsenaleng,3–0,itMilan,,Arsenal Stadium,Damir Skomina,Match Report,Leg 2 of 2; Milan won
